"","County","Lake","Date","Month","Day","Year","Station","TP","TN","CHL","SECCHI_ft","SECCHI_2","Color","Cond_uS","Cond_mS","Lake_County"
"1","Alachua","Alice","05/17/1997",5,17,1997,1,437,380,6,4.1,NA,NA,NA,NA,"Alice Alachua"
"2","Alachua","Alice","05/17/1997",5,17,1997,2,440,420,9,4.9,NA,NA,NA,NA,"Alice Alachua"
"3","Alachua","Alice","05/17/1997",5,17,1997,3,407,410,8,4.3,NA,NA,NA,NA,"Alice Alachua"
"4","Alachua","Alice","06/14/1997",6,14,1997,1,392,630,8,5.8,NA,NA,NA,NA,"Alice Alachua"
"5","Alachua","Alice","06/14/1997",6,14,1997,2,396,420,8,4.7,NA,NA,NA,NA,"Alice Alachua"
"6","Alachua","Alice","06/14/1997",6,14,1997,3,404,530,8,5.4,NA,NA,NA,NA,"Alice Alachua"
"7","Alachua","Alice","07/13/1997",7,13,1997,1,460,640,14,5.2,NA,NA,NA,NA,"Alice Alachua"
"8","Alachua","Alice","07/13/1997",7,13,1997,2,451,620,15,4.9,NA,NA,NA,NA,"Alice Alachua"
"9","Alachua","Alice","07/13/1997",7,13,1997,3,461,560,16,4.6,NA,NA,NA,NA,"Alice Alachua"
"10","Alachua","Alice","08/17/1997",8,17,1997,1,517,740,15,5,NA,NA,NA,NA,"Alice Alachua"
"11","Alachua","Alice","08/17/1997",8,17,1997,2,492,680,15,5,NA,NA,NA,NA,"Alice Alachua"
"12","Alachua","Alice","08/17/1997",8,17,1997,3,488,640,13,5,NA,NA,NA,NA,"Alice Alachua"
"13","Alachua","Alice","09/28/1997",9,28,1997,1,424,700,15,4.3,NA,NA,NA,NA,"Alice Alachua"
"14","Alachua","Alice","09/28/1997",9,28,1997,2,447,700,13,4.6,NA,NA,NA,NA,"Alice Alachua"
"15","Alachua","Alice","09/28/1997",9,28,1997,3,453,750,16,4.8,NA,NA,NA,NA,"Alice Alachua"
"16","Alachua","Alice","10/26/1997",10,26,1997,1,304,670,9,NA,"Bottom (5.8)",NA,NA,NA,"Alice Alachua"
"17","Alachua","Alice","10/26/1997",10,26,1997,2,305,510,9,5.9,NA,NA,NA,NA,"Alice Alachua"
"18","Alachua","Alice","10/26/1997",10,26,1997,3,305,520,8,5.3,NA,NA,NA,NA,"Alice Alachua"
"19","Alachua","Alice","11/23/1997",11,23,1997,1,352,490,8,5.1,NA,NA,NA,NA,"Alice Alachua"
"20","Alachua","Alice","11/23/1997",11,23,1997,2,359,510,8,6,NA,NA,NA,NA,"Alice Alachua"
"21","Alachua","Alice","11/23/1997",11,23,1997,3,360,500,10,6.5,NA,NA,NA,NA,"Alice Alachua"
"22","Alachua","Alice","01/18/1998",1,18,1998,1,326,520,12,5.4,NA,NA,NA,NA,"Alice Alachua"
"23","Alachua","Alice","01/18/1998",1,18,1998,2,347,560,10,5.8,NA,NA,NA,NA,"Alice Alachua"
"24","Alachua","Alice","01/18/1998",1,18,1998,3,352,590,9,6.3,NA,NA,NA,NA,"Alice Alachua"
"25","Alachua","Alice","02/08/1998",2,8,1998,1,301,690,22,5.5,NA,NA,NA,NA,"Alice Alachua"
"26","Alachua","Alice","02/08/1998",2,8,1998,2,298,650,26,5.4,NA,NA,NA,NA,"Alice Alachua"
"27","Alachua","Alice","02/08/1998",2,8,1998,3,286,580,25,4.8,NA,NA,NA,NA,"Alice Alachua"
"28","Alachua","Alice","04/18/1998",4,18,1998,1,367,600,7,NA,"Bottom (4.2)",NA,NA,NA,"Alice Alachua"
"29","Alachua","Alice","04/18/1998",4,18,1998,2,366,660,8,5,NA,NA,NA,NA,"Alice Alachua"
"30","Alachua","Alice","04/18/1998",4,18,1998,3,344,620,7,5.2,NA,NA,NA,NA,"Alice Alachua"
"31","Alachua","Alice","05/17/1998",5,17,1998,1,456,670,8,NA,"Bottom (5.0)",NA,NA,NA,"Alice Alachua"
"32","Alachua","Alice","05/17/1998",5,17,1998,2,456,650,12,4.3,NA,NA,NA,NA,"Alice Alachua"
"33","Alachua","Alice","05/17/1998",5,17,1998,3,470,710,16,4.1,NA,NA,NA,NA,"Alice Alachua"
"34","Alachua","Alice","06/13/1998",6,13,1998,1,445,630,9,3.4,NA,NA,NA,NA,"Alice Alachua"
"35","Alachua","Alice","06/13/1998",6,13,1998,2,443,760,11,3.3,NA,NA,NA,NA,"Alice Alachua"
"36","Alachua","Alice","06/13/1998",6,13,1998,3,449,710,12,3.3,NA,NA,NA,NA,"Alice Alachua"
"37","Alachua","Alice","07/25/1998",7,25,1998,1,543,710,16,3.1,NA,NA,NA,NA,"Alice Alachua"
