"","Study","County","Lake","Waterbody Name","Station","STATIONID","STATION_ID","Monitoring Location Name (35 or less)","Water Management District","GNIS_ID","water type","WIN Secondary Type","GPS Source","Lat deg","Lat min","Lat sec","Long deg","Long min","Long sec","Formula Latitude","Formula Longitude","Latitude","Longitude","Region Number","Region Name","Geologic formation","Geologic formation description","Physiographic region","Physiographic region descriptio","SA (acres)","SA (hectare)","SA Citation","TP Zone","TP 75th","TP 80th","TP 85th","TP 90th","TN Zone","TN 75th","TN 80th","TN 85th","TN 90th","Nutrient Watershed Region","Esturary","Esturary Segment","Narrative Nutrient Criteria Waters","Coastal Nutrient Region","Coastal Nutrient Segment","Site Specific Interpretations of the NNC","Lake_County"
"1","LW","Alachua","Alice",NA,"1","Ala-Alice-1","ALA-ALICE-1","Alachua-Alice-1","St. Johns River",277748,"Lake","Lake","Garmin GPS","29","38","35.5","82","21","37.700000000000003","29.643194444444443","-82.360472222222228",29.6431944444444,-82.3604722222222,"65-06","Northern Peninsula Karst Plains","MH1","The geology is dominated by clayey sand and clay with sandy to clayey limestone of the Hawthorne Formation","OU 5g3","The lake lies in the San Felasco Hammock subdivision of the Northern Peninsual Plains division of the Ocala Uplift District","26","11","(LAKEWATCH)","TP6",248,281,328,355,"TN4",1083,1140,1231,1369,NA,NA,NA,NA,NA,NA,NA,"Alice Alachua"
"2","LW","Alachua","Alice",NA,"2","Ala-Alice-2","ALA-ALICE-2","Alachua-Alice-2","St. Johns River",277748,"Lake","Lake","Garmin GPS","29","38","35.6","82","21","40.799999999999997","29.643222222222221","-82.361333333333334",29.6432222222222,-82.3613333333333,"65-06","Northern Peninsula Karst Plains","MH1","The geology is dominated by clayey sand and clay with sandy to clayey limestone of the Hawthorne Formation","OU 5g3","The lake lies in the San Felasco Hammock subdivision of the Northern Peninsual Plains division of the Ocala Uplift District","26","11","(LAKEWATCH)","TP6",248,281,328,355,"TN4",1083,1140,1231,1369,NA,NA,NA,NA,NA,NA,NA,"Alice Alachua"
"3","LW","Alachua","Alice",NA,"3","Ala-Alice-3","ALA-ALICE-3","Alachua-Alice-3","St. Johns River",277748,"Lake","Lake","Garmin GPS","29","38","34.5","82","21","45.6","29.642916666666668","-82.362666666666669",29.6429166666667,-82.3626666666667,"65-06","Northern Peninsula Karst Plains","MH1","The geology is dominated by clayey sand and clay with sandy to clayey limestone of the Hawthorne Formation","OU 5g3","The lake lies in the San Felasco Hammock subdivision of the Northern Peninsual Plains division of the Ocala Uplift District","26","11","(LAKEWATCH)","TP6",248,281,328,355,"TN4",1083,1140,1231,1369,NA,NA,NA,NA,NA,NA,NA,"Alice Alachua"
"4","LW","Alachua","Alto",NA,"1","Ala-Alto-1","ALA-ALTO-1","Alachua-Alto-1","St. Johns River",307655,"Lake","Lake","Garmin GPS","29","47","3","82","8","40.5","29.784166666666668","-82.14458333333333",29.7841666666667,-82.1445833333333,"75-03","Upper Santa Fe Flatwoods","Mh4","The geology is dominated by deeply weathered clayey sand and granular sand of the Hawthorne Formation","CL 4a","The lake lies in the Perched Lake and Prairies division of the Central Lake District","573","232","(LAKEWATCH)","TP3",26,30,34,45,"TN3",820,876,967,1087,NA,NA,NA,NA,NA,NA,NA,"Alto Alachua"
"5","LW","Alachua","Alto",NA,"2","Ala-Alto-2","ALA-ALTO-2","Alachua-Alto-2","St. Johns River",307655,"Lake","Lake","Garmin GPS","29","46","43.32","82","8","36.479999999999997","29.778700000000001","-82.143466666666669",29.7787,-82.1434666666667,"75-03","Upper Santa Fe Flatwoods","Mh4","The geology is dominated by deeply weathered clayey sand and granular sand of the Hawthorne Formation","CL 4a","The lake lies in the Perched Lake and Prairies division of the Central Lake District","573","232","(LAKEWATCH)","TP3",26,30,34,45,"TN3",820,876,967,1087,NA,NA,NA,NA,NA,NA,NA,"Alto Alachua"
"6","LW","Alachua","Alto",NA,"3","Ala-Alto-3","ALA-ALTO-3","Alachua-Alto-3","St. Johns River",307655,"Lake","Lake","Garmin GPS","29","46","23.04","82","8","30","29.773066666666665","-82.141666666666666",29.7730666666667,-82.1416666666667,"75-03","Upper Santa Fe Flatwoods","Mh4","The geology is dominated by deeply weathered clayey sand and granular sand of the Hawthorne Formation","CL 4a","The lake lies in the Perched Lake and Prairies division of the Central Lake District","573","232","(LAKEWATCH)","TP3",26,30,34,45,"TN3",820,876,967,1087,NA,NA,NA,NA,NA,NA,NA,"Alto Alachua"
"7","LW","Alachua","Bivans Arm",NA,"1","Ala-BivansAr-1","ALA-BIVANSAR-1","Alachua-Bivans Arm-1","St. Johns River",278872,"Lake","Lake","Garmin GPS","29","37","20.399999999999999","82","20","30.84","29.622333333333334","-82.341899999999995",29.6223333333333,-82.3419,"75-08","Central Valley","MH1","The geology is dominated by clayey sand and clay with sandy to clayey limestone of the Hawthorne Formation","OU 5 e4","The lake lies in the Alachua Prairies subdivision of the Northern Peninsual Plains division of the Ocala Uplift District","189","76","(Shafer et al. 1986)","TP4",53,59,72,93,"TN5",1975,2216,2397,2701,NA,NA,NA,NA,NA,NA,NA,"Bivans Arm Alachua"
"8","LW","Alachua","Bivans Arm",NA,"2","Ala-BivansAr-2","ALA-BIVANSAR-2","Alachua-Bivans Arm-2","St. Johns River",278872,"Lake","Lake","Garmin GPS","29","37","26.82","82","20","37.92","29.624116666666666","-82.343866666666671",29.6241166666667,-82.3438666666667,"75-08","Central Valley","MH1","The geology is dominated by clayey sand and clay with sandy to clayey limestone of the Hawthorne Formation","OU 5 e4","The lake lies in the Alachua Prairies subdivision of the Northern Peninsual Plains division of the Ocala Uplift District","189","76","(Shafer et al. 1986)","TP4",53,59,72,93,"TN5",1975,2216,2397,2701,NA,NA,NA,NA,NA,NA,NA,"Bivans Arm Alachua"
"9","LW","Alachua","Bivans Arm",NA,"3","Ala-BivansAr-3","ALA-BIVANSAR-3","Alachua-Bivans Arm-3","St. Johns River",278872,"Lake","Lake","Garmin GPS","29","37","32.700000000000003","82","20","47.4","29.62575","-82.346500000000006",29.62575,-82.3465,"75-08","Central Valley","MH1","The geology is dominated by clayey sand and clay with sandy to clayey limestone of the Hawthorne Formation","OU 5 e4","The lake lies in the Alachua Prairies subdivision of the Northern Peninsual Plains division of the Ocala Uplift District","189","76","(Shafer et al. 1986)","TP4",53,59,72,93,"TN5",1975,2216,2397,2701,NA,NA,NA,NA,NA,NA,NA,"Bivans Arm Alachua"
"10","LW","Alachua","Bonnet",NA,"1","Ala-Bonnet-1","ALA-BONNET-1","Alachua-Bonnet-1","St. Johns River",279221,"Lake","Lake","Garmin GPS","29","43","24","82","5","49","29.723333333333333","-82.096944444444446",29.7233333333333,-82.0969444444444,"75-03","Upper Santa Fe Flatwoods","Mh4","The geology is dominated by deeply weathered clayey sand and granular sand of the Hawthorne Formation","CL 4a","The lake lies in the Perched Lake and Prairies division of the Central Lake District",".",".",NA,"TP3",26,30,34,45,"TN3",820,876,967,1087,NA,NA,NA,NA,NA,NA,NA,"Bonnet Alachua"
