STATIONID,Latitude,Longitude,LAKEID,County,Lake,Station,Study,water type
Ala-Alice-1,29.6432,-82.3605,Ala-Alice,Alachua,Alice,1,LW,Lake
Ala-Alice-2,29.6432,-82.3613,Ala-Alice,Alachua,Alice,2,LW,Lake
Ala-Alice-3,29.6429,-82.3627,Ala-Alice,Alachua,Alice,3,LW,Lake
Ala-Alto-1,29.7842,-82.1446,Ala-Alto,Alachua,Alto,1,LW,Lake
Ala-Alto-2,29.7787,-82.1435,Ala-Alto,Alachua,Alto,2,LW,Lake
Ala-Alto-3,29.7731,-82.1417,Ala-Alto,Alachua,Alto,3,LW,Lake
Ala-BivansAr-1,29.6223,-82.3419,Ala-BivansAr,Alachua,Bivans Arm,1,LW,Lake
Ala-BivansAr-2,29.6241,-82.3439,Ala-BivansAr,Alachua,Bivans Arm,2,LW,Lake
Ala-BivansAr-3,29.6258,-82.3465,Ala-BivansAr,Alachua,Bivans Arm,3,LW,Lake
Ala-BluesC-1-1,29.7179,-82.4184,Ala-BluesC-1,Alachua,Blues Creek-1,1,LW,River/Stream
Ala-BluesC-2-1,29.7203,-82.4221,Ala-BluesC-2,Alachua,Blues Creek-2,1,LW,River/Stream
Ala-BluesC-3-1,29.7269,-82.4219,Ala-BluesC-3,Alachua,Blues Creek-3,1,LW,River/Stream
Ala-Bonnet-1,29.7233,-82.0969,Ala-Bonnet,Alachua,Bonnet,1,LW,Lake
Ala-Bonnet-2,29.724,-82.0961,Ala-Bonnet,Alachua,Bonnet,2,LW,Lake
Ala-Bonnet-3,29.7253,-82.0951,Ala-Bonnet,Alachua,Bonnet,3,LW,Lake
Ala-CalfP-1,29.6281,-82.2876,Ala-CalfP,Alachua,Calf Pond,1,LW,Lake
Ala-CalfP-2,29.6285,-82.2863,Ala-CalfP,Alachua,Calf Pond,2,LW,Lake
Ala-CalfP-3,29.6279,-82.2868,Ala-CalfP,Alachua,Calf Pond,3,LW,Lake
Ala-CellonC-1-1,29.7746,-82.4731,Ala-CellonC-1,Alachua,Cellon Creek-1,1,LW,River/Stream
Ala-CellonC-2-1,29.7691,-82.4549,Ala-CellonC-2,Alachua,Cellon Creek-2,1,LW,River/Stream
Ala-CellonC-3-1,29.7686,-82.4461,Ala-CellonC-3,Alachua,Cellon Creek-3,1,LW,River/Stream
Ala-CellonC-4-1,29.7703,-82.4297,Ala-CellonC-4,Alachua,Cellon Creek-4,1,LW,River/Stream
Ala-Clear-1,29.652,-82.392,Ala-Clear,Alachua,Clear,1,LW,Lake
Ala-Clear-2,29.6511,-82.3911,Ala-Clear,Alachua,Clear,2,LW,Lake
Ala-Clear-3,29.6504,-82.3907,Ala-Clear,Alachua,Clear,3,LW,Lake
Ala-Dean Pond-1,29.4957,-82.0582,Ala-Dean Pond,Alachua,Dean Pond,1,LW,Lake
Ala-Dean Pond-2,29.4959,-82.0588,Ala-Dean Pond,Alachua,Dean Pond,2,LW,Lake
Ala-Dean Pond-3,29.4958,-82.0595,Ala-Dean Pond,Alachua,Dean Pond,3,LW,Lake
Ala-DeepSpPd-1,29.9297,-82.519,Ala-DeepSpPd,Alachua,Deep Spring Pond,1,LW,Lake
Ala-DeepSpPd-2,29.9294,-82.5189,Ala-DeepSpPd,Alachua,Deep Spring Pond,2,LW,Lake
Ala-DeerRun-1-1,29.7066,-82.3976,Ala-DeerRun-1,Alachua,Deer Run-1,1,LW,River/Stream
Ala-DeerRun-2-1,29.7071,-82.396,Ala-DeerRun-2,Alachua,Deer Run-2,1,LW,River/Stream
Ala-Elizabeth-1,29.7002,-82.0918,Ala-Elizabeth,Alachua,Elizabeth,1,LW,Lake
Ala-Elizabeth-2,29.6983,-82.0956,Ala-Elizabeth,Alachua,Elizabeth,2,LW,Lake
Ala-Elizabeth-3,29.6972,-82.0938,Ala-Elizabeth,Alachua,Elizabeth,3,LW,Lake
Ala-GwynnOak-1,29.6525,-82.3893,Ala-GwynnOak,Alachua,Gwynn Oaks,1,LW,Lake
Ala-GwynnOak-2,29.6525,-82.3889,Ala-GwynnOak,Alachua,Gwynn Oaks,2,LW,Lake
Ala-GwynnOak-3,29.6525,-82.3886,Ala-GwynnOak,Alachua,Gwynn Oaks,3,LW,Lake
Ala-Hammocks-1,29.7068,-82.4429,Ala-Hammocks,Alachua,Hammocks,1,LW,Lake
Ala-Hammocks-2,29.7075,-82.4419,Ala-Hammocks,Alachua,Hammocks,2,LW,Lake
Ala-Hammocks-3,29.7079,-82.4413,Ala-Hammocks,Alachua,Hammocks,3,LW,Lake
Ala-Hampton-1,29.8665,-82.17015,Ala-Hampton,Alachua,Hampton,1,LW,Lake
Ala-Hampton-2,29.85805,-82.17015,Ala-Hampton,Alachua,Hampton,2,LW,Lake
Ala-Hampton-3,29.851403,-82.17015,Ala-Hampton,Alachua,Hampton,3,LW,Lake
Ala-Hidden-1,29.7226,-82.3506,Ala-Hidden,Alachua,Hidden,1,LW,Lake
Ala-Hidden-2,29.721800000000002,-82.3505,Ala-Hidden,Alachua,Hidden,2,LW,Lake
Ala-Hidden-3,29.7222,-82.3513,Ala-Hidden,Alachua,Hidden,3,LW,Lake
Ala-HogtownCr-1,29.6718,-82.346,Ala-HogtownCr,Alachua,Hogtown Creek-1,1,LW,River/Stream
Ala-HogtownCr-2,29.6711,-82.3467,Ala-HogtownCr,Alachua,Hogtown Creek-2,1,LW,River/Stream
Ala-HoldenPo-1,29.5639,-82.0589,Ala-HoldenPo,Alachua,Holden Pond,1,LW,Lake
Ala-HoldenPo-2,29.5644,-82.0606,Ala-HoldenPo,Alachua,Holden Pond,2,LW,Lake
Ala-HoldenPo-3,29.5647,-82.0631,Ala-HoldenPo,Alachua,Holden Pond,3,LW,Lake
Ala-HollyFor-1,29.6461,-82.3875,Ala-HollyFor,Alachua,Holly Forest,1,LW,Lake
